DAT_MED;HR_MED;TEM_INS;UMD_INS;VEN_VEL
2012-01-24;2200;27.3;77.0;2.5
2012-01-24;2300;26.6;82.0;1.3
2012-01-25;100;23.2;93.0;0.8
2012-01-25;200;23.4;93.0;1.1
2012-01-25;300;23.6;93.0;0.1
2012-01-25;400;23.5;93.0;0.0
2012-01-25;500;23.6;93.0;0.4
2012-01-25;600;23.5;94.0;0.0
2012-01-25;700;23.2;94.0;0.4
2012-01-25;800;23.2;94.0;0.3
2012-01-25;900;23.4;94.0;0.4
2012-01-25;1000;23.5;94.0;0.0
2012-01-25;1100;24.6;94.0;1.3
2012-01-25;1200;26.4;89.0;1.1
2012-01-25;1300;28.4;77.0;2.0
2012-01-25;1400;29.2;71.0;2.0
2012-01-25;1500;30.2;62.0;2.2
2012-01-25;1600;31.1;59.0;2.1
2012-01-25;1700;31.4;61.0;1.6
2012-01-25;1800;31.5;60.0;2.2
2012-01-25;1900;29.8;63.0;1.2
2012-01-25;2000;28.3;70.0;2.6
2012-01-25;2100;28.1;75.0;2.5
2012-01-25;2200;26.6;85.0;1.3
2012-01-25;2300;26.1;87.0;0.8
2012-01-26;0;25.8;87.0;1.2
2012-01-26;100;25.3;88.0;0.6
2012-01-26;200;25.0;90.0;0.2
2012-01-26;300;24.8;90.0;0.0
2012-01-26;400;24.6;92.0;0.0
2012-01-26;500;24.3;92.0;0.0
2012-01-26;600;24.3;93.0;0.0
2012-01-26;700;24.2;93.0;0.1
2012-01-26;800;24.2;93.0;0.0
2012-01-26;900;24.1;93.0;0.0
2012-01-26;1000;24.3;93.0;0.1
2012-01-26;1100;25.3;92.0;0.9
2012-01-26;1200;27.5;86.0;1.0
2012-01-26;1300;29.1;75.0;1.6
2012-01-26;1400;30.6;65.0;1.3
2012-01-26;1500;30.5;60.0;2.3
2012-01-26;1600;30.4;64.0;1.4
2012-01-26;1700;31.5;61.0;1.7
2012-01-26;1800;31.7;58.0;1.9
2012-01-26;1900;28.8;68.0;2.1
2012-01-26;2000;27.1;73.0;1.4
2012-01-26;2100;25.5;87.0;0.6
2012-01-26;2200;26.1;88.0;0.2
2012-01-26;2300;26.6;86.0;1.4
2012-01-27;0;26.3;85.0;0.6
2012-01-27;100;26.1;85.0;0.3
2012-01-27;200;25.5;88.0;0.7
2012-01-27;300;25.5;88.0;0.3
2012-01-27;400;25.3;87.0;0.3
2012-01-27;500;24.7;89.0;0.0
2012-01-27;600;24.6;91.0;0.1
2012-01-27;700;24.2;91.0;0.0
2012-01-27;800;24.3;92.0;0.2
2012-01-27;900;24.1;92.0;0.1
2012-01-27;1000;24.3;92.0;0.5
2012-01-27;1100;26.2;87.0;1.1
2012-01-27;1200;27.6;80.0;1.4
2012-01-27;1300;28.6;72.0;1.8
2012-01-27;1400;29.4;67.0;1.6
2012-01-27;1500;30.9;59.0;1.2
2012-01-27;1600;31.1;57.0;1.2
2012-01-27;1700;29.9;63.0;1.7
2012-01-27;1800;30.9;63.0;1.7
2012-01-27;1900;28.4;73.0;2.5
